"country",popTotal,percentPopFemale,percentPopMale
"Aruba",105845,52.53103566,47.46896434
"Afghanistan",37172386,48.6358467,51.3641533
"Angola",30809762,50.53046293,49.46953707
"Albania",2866376,49.0630946,50.9369054
"United Arab Emirates",9630959,30.63668795,69.36331205
"Argentina",44494502,51.23734845,48.76265155
"Armenia",2951776,52.95657715,47.04342285
"Antigua and Barbuda",96286,51.78849629,48.21150371
"Australia",24992369,50.19962324,49.80037676
"Austria",8847037,50.82942665,49.17057335
"Azerbaijan",9942334,50.1157491,49.8842509
"Burundi",11175378,50.42199464,49.57800536
"Belgium",11422068,50.59331939,49.40668061
"Benin",11485048,50.0982017,49.9017983
"Burkina Faso",19751535,50.09548152,49.90451848
"Bangladesh",161356039,49.38729667,50.61270333
"Bulgaria",7024216,51.41408841,48.58591159
"Bahrain",1569439,36.34825161,63.65174839
"Bahamas, The",385640,51.42505219,48.57494781
"Bosnia and Herzegovina",3323929,51.01053603,48.98946397
"Belarus",9485386,53.45605422,46.54394578
"Belize",383071,50.19252306,49.80747694
"Bolivia",11353142,49.78339913,50.21660087
"Brazil",209469333,50.82991676,49.17008324
"Barbados",286641,51.67283003,48.32716997
"Brunei Darussalam",428962,48.03618053,51.96381947
"Bhutan",754394,47.00263522,52.99736478
"Botswana",2254126,51.73076044,48.26923956
"Central African Republic",4666377,50.43647371,49.56352629
"Canada",37058856,50.39152995,49.60847005
"Switzerland",8516543,50.42712466,49.57287534
"Channel Islands",170499,50.52904467,49.47095533
"Chile",18729160,50.72703184,49.27296816
"China",1392730000,48.67937396,51.32062604
"Cote d'Ivoire",25069229,49.51911958,50.48088042
"Cameroon",25216237,50.00348783,49.99651217
"Congo, Dem. Rep.",84068091,50.09774339,49.90225661
"Congo, Rep.",5244363,50.06560377,49.93439623
"Colombia",49648685,50.9257717,49.0742283
"Comoros",832322,49.55870444,50.44129556
"Cabo Verde",543767,49.81903914,50.18096086
"Costa Rica",4999441,50.0098511,49.9901489
"Cuba",11338138,50.33284983,49.66715017
"Curacao",159849,54.09546982,45.90453018
"Cyprus",1189265,49.9710745,50.0289255
"Czech Republic",10625695,50.80858893,49.19141107
"Germany",82927922,50.66036737,49.33963263
"Djibouti",958920,47.36678545,52.63321455
"Denmark",5797446,50.27420273,49.72579727
"Dominican Republic",10627165,50.00779607,49.99220393
"Algeria",42228429,49.48426788,50.51573212
"Ecuador",17084357,49.97062518,50.02937482
"Egypt, Arab Rep.",98423595,49.46997164,50.53002836
"Spain",46723749,50.89664131,49.10335869
"Estonia",1320884,52.85842682,47.14157318
"Ethiopia",109224559,49.97888842,50.02111158
"Finland",5518050,50.72075849,49.27924151
"Fiji",883483,49.30050142,50.69949858
"France",66987244,51.58424048,48.41575952
"Micronesia, Fed. Sts.",112640,49.15482955,50.84517045
"Gabon",2119275,49.06862016,50.93137984
"United Kingdom",66488991,50.63527456,49.36472544
"Georgia",3731000,52.2912375,47.7087625
"Ghana",29767108,49.3258297,50.6741703
"Guinea",12414318,51.8211107,48.1788893
"Gambia, The",2280102,50.4021329,49.5978671
"Guinea-Bissau",1874309,51.16880719,48.83119281
"Equatorial Guinea",1308974,44.45585294,55.54414706
"Greece",10727668,50.91620191,49.08379809
"Grenada",111454,49.60744376,50.39255624
"Guatemala",17247807,50.7593495,49.2406505
"Guam",165768,49.4944803,50.5055197
"Guyana",779004,49.80802483,50.19197517
"Hong Kong SAR, China",7451000,53.93244298,46.06755702
"Honduras",9587522,50.04934017,49.95065983
"Croatia",4089400,51.85262175,48.14737825
"Haiti",11123176,50.65220989,49.34779011
"Hungary",9768785,52.43242803,47.56757197
"Indonesia",267663435,49.64388219,50.35611781
"India",1352617328,48.02353964,51.97646036
"Ireland",4853506,50.42550948,49.57449052
"Iran, Islamic Rep.",81800269,49.43912976,50.56087024
"Iraq",38433600,49.40868153,50.59131847
"Iceland",353574,49.81170852,50.18829148
"Israel",8883800,50.29812658,49.70187342
"Italy",60431283,51.37666963,48.62333037
"Jamaica",2934855,50.33982963,49.66017037
"Jordan",9956011,49.38968354,50.61031646
"Japan",126529100,51.15925913,48.84074087
"Kazakhstan",18276499,51.51148365,48.48851635
"Kenya",51393010,50.31602039,49.68397961
"Kyrgyz Republic",6315800,50.52486308,49.47513692
"Cambodia",16249798,51.19798127,48.80201873
"Kiribati",115847,50.8485696,49.1514304
"Korea, Rep.",51635256,49.91688179,50.08311821
"Kuwait",4137309,39.54817062,60.45182938
"Lao PDR",7061507,49.78936481,50.21063519
"Lebanon",6848925,49.70580552,50.29419448
"Liberia",4818977,49.76829102,50.23170898
"Libya",6678567,49.48378881,50.51621119
"St. Lucia",181889,50.75045357,49.24954643
"Sri Lanka",21670000,51.96681766,48.03318234
"Lesotho",2108132,50.71689543,49.28310457
"Lithuania",2789533,53.79195865,46.20804135
"Luxembourg",607728,49.53925897,50.46074103
"Latvia",1926542,54.01016666,45.98983334
"Macao SAR, China",631636,51.97828486,48.02171514
"Morocco",36029138,50.40384729,49.59615271
"Moldova",3545883,52.03556312,47.96443688
"Madagascar",26262368,50.12396661,49.87603339
"Maldives",515696,37.26498146,62.73501854
"Mexico",126190788,51.08928083,48.91071917
"North Macedonia",2082958,49.96646594,50.03353406
"Mali",19077690,49.94099673,50.05900327
"Malta",483530,49.87330822,50.12669178
"Myanmar",53708395,51.80789687,48.19210313
"Montenegro",622345,50.55901294,49.44098706
"Mongolia",3170208,50.66954471,49.33045529
"Mozambique",29495962,51.4751911,48.5248089
"Mauritania",4403319,49.82265622,50.17734378
"Mauritius",1265303,50.5771064,49.4228936
"Malawi",18143315,50.70151569,49.29848431
"Malaysia",31528585,48.57852058,51.42147942
"Namibia",2448255,51.55369032,48.44630968
"New Caledonia",284060,49.66105448,50.33894552
"Niger",22442948,49.7710026,50.2289974
"Nigeria",195874740,49.33611355,50.66388645
"Nicaragua",6465513,50.71270568,49.28729432
"Netherlands",17231017,50.22094356,49.77905644
"Norway",5314336,49.52463113,50.47536887
"Nepal",28087871,54.53534333,45.46465667
"New Zealand",4885500,50.8377694,49.1622306
"Oman",4829483,34.01408352,65.98591648
"Pakistan",212215030,48.53807472,51.46192528
"Panama",4176873,49.90538365,50.09461635
"Peru",31989256,50.33775549,49.66224451
"Philippines",106651922,49.74165739,50.25834261
"Papua New Guinea",8606316,48.96272787,51.03727213
"Poland",37978548,51.53070738,48.46929262
"Puerto Rico",3195153,52.45009373,47.54990627
"Korea, Dem. People’s Rep.",25549819,51.09385248,48.90614752
"Portugal",10281762,52.71196171,47.28803829
"Paraguay",6956071,49.15161135,50.84838865
"West Bank and Gaza",4569087,49.27764427,50.72235573
"French Polynesia",277679,49.32456523,50.67543477
"Qatar",2781677,24.49528738,75.50471262
"Romania",19473936,51.34374306,48.65625694
"Russian Federation",144478050,53.66176236,46.33823764
"Rwanda",12301939,50.86106135,49.13893865
"Saudi Arabia",33699947,42.44584798,57.55415202
"Sudan",41801533,50.04741453,49.95258547
"Senegal",15854360,51.27732977,48.72267023
"Singapore",5638676,47.65812541,52.34187459
"Solomon Islands",652858,49.15463747,50.84536253
"Sierra Leone",7650154,50.12127215,49.87872785
"El Salvador",6420744,53.11400244,46.88599756
"Somalia",15008154,50.13335021,49.86664979
"Serbia",6982084,51.00252296,48.99747704
"South Sudan",10975920,49.95630436,50.04369564
"Sao Tome and Principe",211028,49.96351264,50.03648736
"Suriname",575991,49.71709431,50.28290569
"Slovak Republic",5447011,51.33833252,48.66166748
"Slovenia",2067372,50.24520703,49.75479297
"Sweden",10183175,49.94577617,50.05422383
"Eswatini",1136191,51.14893063,48.85106937
"Seychelles",96762,48.65491174,51.34508826
"Syrian Arab Republic",16906283,49.81421136,50.18578864
"Chad",15477751,50.08489942,49.91510058
"Togo",7889094,50.26804722,49.73195278
"Thailand",69428524,51.26870461,48.73129539
"Tajikistan",9100837,49.58383544,50.41616456
"Turkmenistan",5850908,50.7607374,49.2392626
"Timor-Leste",1267972,49.45846724,50.54153276
"Tonga",103197,49.98691848,50.01308152
"Trinidad and Tobago",1389858,50.59132663,49.40867337
"Tunisia",11565204,50.43715186,49.56284814
"Turkey",82319724,50.6778132,49.3221868
"Tanzania",56318348,50.05101091,49.94898909
"Uganda",42723139,50.7760789,49.2239211
"Ukraine",44622516,53.6877507,46.3122493
"Uruguay",3449299,51.72154269,48.27845731
"United States",327167434,50.52001465,49.47998535
"Uzbekistan",32955400,50.13735892,49.86264108
"St. Vincent and the Grenadines",110210,49.20878323,50.79121677
"Venezuela, RB",28870195,50.6332598,49.3667402
"Virgin Islands (U.S.)",106977,52.43713696,47.56286304
"Vietnam",95540395,50.09640962,49.90359038
"Vanuatu",292680,49.28880157,50.71119843
"Samoa",196130,48.25624082,51.74375918
"Yemen,Rep.",28498687,49.61165749,50.38834251
"South Africa",57779622,50.69415038,49.30584962
"Zambia",17351822,50.49320776,49.50679224
"Zimbabwe",14439018,52.35675207,47.64324793
