country,popTotal,percentPopFemale,percentPopMale
"Aruba",105845,52.5,47.4
"Afghanistan",37172386,48.6,51.3
"Angola",30809762,50.3,49.4
"Albania",2866376,49.0,50.9
"United Arab Emirates",9630959,30.6,69.3
"Argentina",44494502,51.2,48.7
"Armenia",2951776,52.9,47.0
"Antigua and Barbuda",96286,51.7,48.2
"Australia",24992369,50.1,49.8
"Austria",8847037,50.8,49.1
"Azerbaijan",9942334,50.1,49.8
"Burundi",11175378,50.4,49.5
"Belgium",11422068,50.5,49.4
"Benin",11485048,50.0,49.9
"Burkina Faso",19751535,50.0,49.9
"Bangladesh",161356039,49.3,50.6
"Bulgaria",7024216,51.4,48.5
"Bahrain",1569439,36.3,63.6
"Bahamas, The",385640,51.4,48.5
"Bosnia and Herzegovina",3323929,51.0,48.9
"Belarus",9485386,53.4,46.5
"Belize",383071,50.1,49.8
"Bolivia",11353142,49.7,50.2
"Brazil",209469333,50.8,49.1
"Barbados",286641,51.6,48.2
"Brunei Darussalam",428962,48.0,51.9
"Bhutan",754394,47.0,52.9
"Botswana",2254126,51.7,48.2
"Central African Republic",4666377,50.4,49.5
"Canada",37058856,50.3,49.6
"Switzerland",8516543,50.4,49.5
"Channel Islands",170499,50.5,49.4
"Chile",18729160,50.7,49.2
"China",1392730000,48.6,51.3
"Cote d'Ivoire",25069229,49.5,50.4
"Cameroon",25216237,50.0,49.9
"Congo, Dem. Rep.",84068091,50.0,49.9
"Congo, Rep.",5244363,50.0,49.9
"Colombia",49648685,50.9,49.0
"Comoros",832322,49.5,50.4
"Cabo Verde",543767,49.8,50.1
"Costa Rica",4999441,50.0,49.9
"Cuba",11338138,50.3,49.6
"Curacao",159849,54.0,45.9
"Cyprus",1189265,49.9,50.0
"Czech Republic",10625695,50.8,49.1
"Germany",82927922,50.6,49.3
"Djibouti",958920,47.3,52.6
"Denmark",5797446,50.2,49.7
"Dominican Republic",10627165,50.0,49.9
"Algeria",42228429,49.4,50.5
"Ecuador",17084357,49.9,50.0
"Egypt, Arab Rep.",98423595,49.4,50.5
"Spain",46723749,50.8,49.1
"Estonia",1320884,52.8,47.1
"Ethiopia",109224559,49.9,50.0
"Finland",5518050,50.7,49.2
"Fiji",883483,49.3,50.6
"France",66987244,51.5,48.4
"Micronesia, Fed. Sts.",112640,49.1,50.8
"Gabon",2119275,49.0,50.9
"United Kingdom",66488991,50.6,49.3
"Georgia",3731000,52.2,47.7
"Ghana",29767108,49.3,50.6
"Guinea",12414318,51.8,48.1
"Gambia, The",2280102,50.4,49.5
"Guinea-Bissau",1874309,51.1,48.8
"Equatorial Guinea",1308974,44.4,55.5
"Greece",10727668,50.9,49.0
"Grenada",111454,49.6,50.3
"Guatemala",17247807,50.7,49.2
"Guam",165768,49.4,50.5
"Guyana",779004,49.8,50.1
"Hong Kong SAR, China",7451000,53.9,46.0
"Honduras",9587522,50.0,49.9
"Croatia",4089400,51.8,48.1
"Haiti",11123176,50.6,49.3
"Hungary",9768785,52.4,47.5
"Indonesia",267663435,49.6,50.3
"India",1352617328,48.0,51.9
"Ireland",4853506,50.4,49.5
"Iran, Islamic Rep.",81800269,49.4,50.5
"Iraq",38433600,49.4,50.5
"Iceland",353574,49.8,50.1
"Israel",8883800,50.2,49.7
"Italy",60431283,51.3,48.6
"Jamaica",2934855,50.3,49.6
"Jordan",9956011,49.3,50.6
"Japan",126529100,51.1,48.8
"Kazakhstan",18276499,51.5,48.4
"Kenya",51393010,50.3,49.6
"Kyrgyz Republic",6315800,50.5,49.4
"Cambodia",16249798,51.1,48.8
"Kiribati",115847,50.8,49.1
"Korea, Rep.",51635256,49.9,50.0
"Kuwait",4137309,39.5,60.4
"Lao PDR",7061507,49.7,50.1
"Lebanon",6848925,49.7,50.2
"Liberia",4818977,49.7,50.2
"Libya",6678567,49.4,50.5
"St. Lucia",181889,50.7,49.2
"Sri Lanka",21670000,51.9,48.0
"Lesotho",2108132,50.7,49.2
"Lithuania",2789533,53.7,46.2
"Luxembourg",607728,49.3,50.4
"Latvia",1926542,54.0,45.9
"Macao SAR, China",631636,51.9,48.0
"Morocco",36029138,50.4,49.5
"Moldova",3545883,52.0,47.9
"Madagascar",26262368,50.1,49.8
"Maldives",515696,37.2,62.7
"Mexico",126190788,51.0,48.9
"North Macedonia",2082958,49.9,50.0
"Mali",19077690,49.9,50.0
"Malta",483530,49.8,50.1
"Myanmar",53708395,51.8,48.1
